id,customer_id,chit_group_id,is_winner
1,S7LWWZ,91V0WP,0
2,S7LWWZ,P7QKV7,0
3,5MLC5B,91V0WP,0
4,5MLC5B,P7QKV7,0
5,5MLC5B,UJBCHU,0
6,S7LWWZ,UJBCHU,0
7,MBSX3Y,P7QKV7,0
8,5MLC5B,QNUBA3,0
9,2G1PFU,QNUBA3,0
10,2G1PFU,UJBCHU,0
11,2G1PFU,91V0WP,0
12,2D5GXL,91V0WP,0
13,ANY13C,91V0WP,1
14,6QU51U,91V0WP,0
15,6QU51U,QNUBA3,1
16,QGQGGD,91V0WP,1
17,OYG5OM,91V0WP,0
18,L9TFGS,91V0WP,1
19,C44EQU,91V0WP,0
20,2D5GXL,UJBCHU,0
21,2G1PFU,P7QKV7,0
22,VTQH48,UJBCHU,0
23,L9TFGS,UJBCHU,0
24,C44EQU,UJBCHU,0
25,OYG5OM,UJBCHU,0
26,QGQGGD,QNUBA3,1
27,QGQGGD,UJBCHU,0
28,6QU51U,UJBCHU,0
29,6QU51U,P7QKV7,0
30,ANY13C,P7QKV7,0
31,2D5GXL,P7QKV7,0
32,OYG5OM,P7QKV7,0
33,C44EQU,P7QKV7,0
34,L9TFGS,P7QKV7,0
35,C44EQU,QNUBA3,0
36,OYG5OM,QNUBA3,0
37,ANY13C,QNUBA3,0
38,2D5GXL,QNUBA3,0
39,DY5ZQZ,QNUBA3,0
40,L9TFGS,QNUBA3,0
